id,c2_net,c1_net,c3_net,c4_net,c5_net,c6_net,c7_net,cohort,Race,Sex
4436,917,804,917,917,917,unk,unk,3,2,1
4358,804,704,804,917,917,unk,unk,2,1,0
8482,917,unk,917,917,917,unk,unk,3,1,0
4107,804,704,804,917,917,unk,unk,2,2,0
295,801,701,801,917,917,unk,unk,2,1,1
4153,804,704,804,917,917,unk,unk,2,1,1
515,801,701,801,917,917,unk,unk,2,1,1
569,917,801,917,917,917,unk,unk,3,1,1
8436,917,unk,917,917,917,unk,unk,3,1,0
4132,804,704,804,917,917,unk,unk,2,2,1
4339,804,704,804,917,917,unk,unk,2,1,1
448,917,801,917,917,917,unk,unk,3,1,0
257,917,801,917,917,917,unk,unk,3,2,0
150,917,801,917,917,917,unk,unk,3,1,1
9159,unk,unk,unk,917,917,unk,unk,2,unk,0
4233,804,704,804,917,917,unk,unk,2,2,1
8380,804,unk,804,917,917,unk,unk,2,1,0
4539,917,804,917,917,917,unk,unk,3,2,1
4242,804,704,804,917,917,unk,unk,2,1,1
8488,917,unk,917,917,917,unk,unk,3,1,1
357,801,701,801,917,917,unk,unk,2,1,0
296,801,701,801,917,917,unk,unk,2,1,0
4348,804,704,804,917,917,unk,unk,2,1,0
9172,unk,unk,unk,917,917,unk,unk,2,1,1
601,917,801,917,917,917,unk,unk,3,1,1
565,917,801,917,917,917,unk,unk,3,1,1
151,917,801,917,917,917,unk,unk,3,2,0
8419,804,unk,804,917,917,unk,unk,2,1,1
4193,804,704,804,917,917,unk,unk,2,unk,0
30,917,801,917,917,917,unk,unk,3,1,1
348,801,701,801,917,917,unk,unk,2,1,0
39,917,801,917,917,917,unk,unk,3,1,0
4332,804,704,804,917,917,unk,unk,2,1,0
524,801,701,801,917,917,unk,unk,2,4,1
4174,804,704,804,917,917,unk,unk,2,1,0
219,917,801,917,917,917,unk,unk,3,1,0
8048,801,unk,801,917,917,unk,unk,2,unk,1
4394,917,804,917,917,917,unk,unk,3,1,0
9168,unk,unk,unk,917,917,unk,unk,2,unk,1
8424,917,unk,917,917,917,unk,unk,3,2,1
609,917,801,917,917,917,unk,unk,3,2,0
4116,804,704,804,917,917,unk,unk,2,1,0
532,801,701,801,917,917,unk,unk,2,1,1
8467,917,unk,917,917,917,unk,unk,3,1,1
291,801,701,801,917,917,unk,unk,2,1,0
4401,917,804,917,917,917,unk,unk,3,1,0
581,917,801,917,917,917,unk,unk,3,1,1
93,801,701,801,917,917,unk,unk,2,1,1
4671,917,13,917,917,917,unk,unk,2,2,0
4241,804,704,804,917,917,unk,unk,2,2,1
